Track Name,File Path,Source_URL,duration_ms,item_type,energy_category,Intro_Duration,Punch_Ms,outro_duration,bpm,Bitrate,Lyrics,Year,Art Ratio,Length
DeBarge - Who's Holding Donna Now [Rhythm of the Night],Z:/Old School 70s80s/DeBarge - Who's Holding Donna Now [Rhythm of the Night].mp3,,267000,Music,,10000,0,20000,0,320,Unknown,1985,1.0,4:27
Patrice Rushen - Remind Me [Straight From the Heart],Z:/Old School 70s80s/Patrice Rushen - Remind Me [Straight From the Heart].mp3,,312000,Music,,10000,0,20000,0,320,Unknown,2021,1.0,5:12
Prince - Little Red Corvette [4Ever],Z:/Old School 70s80s/Prince - Little Red Corvette [4Ever].mp3,,188000,Music,,10000,0,20000,0,320,Unknown,2016,1.0,3:08
Percy Sledge - Sudden Stop [The Ultimate Collection_ When a Man Loves a Woman],Z:/Old School 70s80s/Percy Sledge - Sudden Stop [The Ultimate Collection_ When a Man Loves a Woman].mp3,,168000,Music,,10000,0,20000,0,320,Unknown,1987,1.0,2:48
Simply Red - If You Don’t Know Me by Now [Reader’s Digest_ 100 Solid Gold Hits],Z:/Old School 70s80s/Simply Red - If You Don’t Know Me by Now [Reader’s Digest_ 100 Solid Gold Hits].mp3,,204000,Music,,10000,0,20000,0,320,Unknown,1990,1.0,3:24
Alexander O’Neal - Criticize [Hearsay],Z:/Old School 70s80s/Alexander O’Neal - Criticize [Hearsay].mp3,,245000,Music,,10000,0,20000,0,320,Unknown,1987,1.0,4:05
"Dionne Warwick with Gladys Knight, Elton John & Stevie Wonder - That’s What Friends Are For [The Definitive Collection]","Z:/Old School 70s80s/Dionne Warwick with Gladys Knight, Elton John & Stevie Wonder - That’s What Friends Are For [The Definitive Collection].mp3",,250000,Music,,10000,0,20000,0,320,Unknown,1999,1.0,4:10
Whodini - Freaks Come Out at Night [Greatest Hits],Z:/Old School 70s80s/Whodini - Freaks Come Out at Night [Greatest Hits].mp3,,168000,Music,,10000,0,20000,0,320,Unknown,1990,1.0,2:48
Michel’le - Something in My Heart [Maximum Slow Jams],Z:/Old School 70s80s/Michel’le - Something in My Heart [Maximum Slow Jams].mp3,,345000,Music,,10000,0,20000,0,320,Unknown,1997,1.0,5:45
Teddy Pendergrass - Love T.K.O. [TP],Z:/Old School 70s80s/Teddy Pendergrass - Love T.K.O. [TP].mp3,,294000,Music,,10000,0,20000,0,320,Unknown,2016,1.0,4:54
Atlantic Starr - Always [All in the Name of Love],Z:/Old School 70s80s/Atlantic Starr - Always [All in the Name of Love].mp3,,283000,Music,,10000,0,20000,0,320,Unknown,1987,1.0,4:43
Atlantic Starr - Secret Lovers [As the Band Turns],Z:/Old School 70s80s/Atlantic Starr - Secret Lovers [As the Band Turns].mp3,,327000,Music,,10000,0,20000,0,320,Unknown,1985,1.0,5:27
Danny Boy - Coffee or Tea [Black Heart],Z:/Old School 70s80s/Danny Boy - Coffee or Tea [Black Heart].mp3,,139000,Music,,10000,0,20000,0,320,Unknown,2023,1.0,2:19
DeBarge - All This Love [All This Love],Z:/Old School 70s80s/DeBarge - All This Love [All This Love].mp3,,350000,Music,,10000,0,20000,0,320,Unknown,1982,1.0,5:50
Force MD’s - Tender Love [Chillin'],Z:/Old School 70s80s/Force MD’s - Tender Love [Chillin'].mp3,,233000,Music,,10000,0,20000,0,320,Unknown,1985,1.0,3:53
DeBarge - Stay With Me [Masterpiece_ Created by Carl Craig],Z:/Old School 70s80s/DeBarge - Stay With Me [Masterpiece_ Created by Carl Craig].mp3,,211000,Music,,10000,0,20000,0,320,Unknown,2013,1.0,3:31
Kool & the Gang - Too Hot [Ladies’ Night _ Celebrate! _ Something Special _ As One _ In The Heart _ Emergency],Z:/Old School 70s80s/Kool & the Gang - Too Hot [Ladies’ Night _ Celebrate! _ Something Special _ As One _ In The Heart _ Emergency].mp3,,290000,Music,,10000,0,20000,0,320,Unknown,2020,1.0,4:50
Gregory Abbott - Shake You Down [Smash Hits],Z:/Old School 70s80s/Gregory Abbott - Shake You Down [Smash Hits].mp3,,242000,Music,,10000,0,20000,0,320,Unknown,1987,1.0,4:02
Prince - 1999 [1999],Z:/Old School 70s80s/Prince - 1999 [1999].mp3,,373000,Music,,10000,0,20000,0,320,Unknown,1982,1.0,6:13
Freddie Jackson - You Are My Lady [Rock Me Tonight],Z:/Old School 70s80s/Freddie Jackson - You Are My Lady [Rock Me Tonight].mp3,,277000,Music,,10000,0,20000,0,320,Unknown,1985,1.0,4:37
Commodores - Brick House [Commodores],Z:/Old School 70s80s/Commodores - Brick House [Commodores].mp3,,200000,Music,,10000,0,20000,0,320,Unknown,1977,1.0,3:20
Rick James - Give It to Me Baby [Street Songs],Z:/Old School 70s80s/Rick James - Give It to Me Baby [Street Songs].mp3,,246000,Music,,10000,0,20000,0,320,Unknown,2002,1.0,4:06
Daryl Hall & John Oates - I Can’t Go For That (No Can Do) [The Very Best of Daryl Hall & John Oates],Z:/Old School 70s80s/Daryl Hall & John Oates - I Can’t Go For That (No Can Do) [The Very Best of Daryl Hall & John Oates].mp3,,309000,Music,,10000,0,20000,0,320,Unknown,2001,1.0,5:09
"Club Nouveau - Why You Treat Me So Bad [Life, Love & Pain]","Z:/Old School 70s80s/Club Nouveau - Why You Treat Me So Bad [Life, Love & Pain].mp3",,311000,Music,,10000,0,20000,0,320,Unknown,1986,1.0,5:11
Guy - You Can Call Me Crazy [Guy (special edition)],Z:/Old School 70s80s/Guy - You Can Call Me Crazy [Guy (special edition)].mp3,,238000,Music,,10000,0,20000,0,320,Unknown,2007,1.0,3:58
Guy - Teddy’s Jam [Guy (special edition)],Z:/Old School 70s80s/Guy - Teddy’s Jam [Guy (special edition)].mp3,,212000,Music,,10000,0,20000,0,320,Unknown,2007,1.0,3:32
